대분류,식당 이름,주소,행정구역,지역,전화번호,예약링크
맛집,말젯문,제주 제주시 구좌읍 계룡길 31 (구좌읍 한동리),제주시,구좌,,
맛집,그릉그릉파스타가게,제주 제주시 구좌읍 구좌로 31 1층 (구좌읍 세화리),제주시,구좌,,
맛집,제주 유,제주 제주시 구좌읍 구좌로 34 1층 (구좌읍 세화리),제주시,구좌,,
맛집,얌얌,제주 제주시 구좌읍 구좌로 44 (구좌읍 세화리),제주시,구좌,,
맛집,포세화,제주 제주시 구좌읍 구좌로 46 1층 (구좌읍 세화리),제주시,구좌,,
맛집,빗소리,제주 제주시 구좌읍 김녕로 151 (구좌읍 김녕리),제주시,구좌,,
맛집,김녕회관,제주 제주시 구좌읍 김녕로 170 (구좌읍 김녕리),제주시,구좌,,
맛집,쯔루네,제주 제주시 구좌읍 김녕로1길 90 (구좌읍 김녕리),제주시,구좌,,
맛집,해녀식당,제주 제주시 구좌읍 동복로 5 (구좌읍 동복리),제주시,구좌,,
맛집,세화마구간,제주 제주시 구좌읍 면수길 49 (구좌읍 하도리),제주시,구좌,,
맛집,동백낭식당,제주 제주시 구좌읍 비자림로 1814 (구좌읍 송당리),제주시,구좌,,
맛집,제주소녀,제주 제주시 구좌읍 비자숲길 21 1층 (구좌읍 평대리),제주시,구좌,,
맛집,달고둥,제주 제주시 구좌읍 세평항로 28 1층 (구좌읍 세화리),제주시,구좌,,
맛집,세화야,제주 제주시 구좌읍 세평항로 38 1층 (구좌읍 세화리),제주시,구좌,,
맛집,버거스테이,제주 제주시 구좌읍 세화1길 20-18 (구좌읍 세화리),제주시,구좌,,
맛집,엘플로리디타,제주 제주시 구좌읍 세화1길 39 1층 (구좌읍 세화리),제주시,구좌,,
맛집,호자,제주 제주시 구좌읍 세화8길 7 1층 1호 (구좌읍 세화리),제주시,구좌,,
맛집,키치니토 제주점,제주 제주시 구좌읍 송당5길 18 (구좌읍 송당리),제주시,구좌,,
맛집,천리식당,제주 제주시 구좌읍 송당6길 30 (구좌읍 송당리),제주시,구좌,,
맛집,렐레펑테러블,제주 제주시 구좌읍 월정1길 17 2동 1층 (구좌읍 월정리),제주시,구좌,,
맛집,만월당,제주 제주시 구좌읍 월정1길 56 1층 (구좌읍 월정리),제주시,구좌,,
맛집,월스낵,제주 제주시 구좌읍 월정1길 70-5 (구좌읍 월정리),제주시,구좌,,
맛집,월정리유메이우동,제주 제주시 구좌읍 월정3길 52 (구좌읍 월정리),제주시,구좌,,
맛집,초밥공장,제주 제주시 구좌읍 월정3길 7 (구좌읍 월정리),제주시,구좌,,
맛집,괜찮은술책,제주 제주시 구좌읍 종달로 60-12 1층 (구좌읍 종달리),제주시,구좌,,
맛집,릴로,제주 제주시 구좌읍 종달로 60-12 1층 (구좌읍 종달리),제주시,구좌,,
맛집,구좌지앵,제주 제주시 구좌읍 종달로1길 102 1층 (구좌읍 종달리),제주시,구좌,,
맛집,송가네식당,제주 제주시 구좌읍 중산간동로 2245-1 (구좌읍 송당리),제주시,구좌,,
맛집,텍시아,제주 제주시 구좌읍 평대2길 39-28 (구좌읍 평대리),제주시,구좌,,
맛집,밥짓는시간,제주 제주시 구좌읍 평대5길 25 2층 (구좌읍 평대리),제주시,구좌,,
맛집,당근과해녀,제주 제주시 구좌읍 평대5길 48-1 (구좌읍 평대리),제주시,구좌,,
맛집,갯동산국수,제주 제주시 구좌읍 평대7길 55 (구좌읍 평대리),제주시,구좌,,
맛집,취하도,제주 제주시 구좌읍 하도15길 107-17 (구좌읍 하도리),제주시,구좌,,
맛집,이런날엔,제주 제주시 구좌읍 한동북1길 60 (구좌읍 한동리),제주시,구좌,,
맛집,톰톰카레,제주 제주시 구좌읍 해맞이해안로 1112 (구좌읍 평대리),제주시,구좌,,
맛집,숑디,제주 제주시 구좌읍 해맞이해안로 1240-1 (구좌읍 평대리),제주시,구좌,,
맛집,산도롱맨도롱,제주 제주시 구좌읍 해맞이해안로 2284 1층 (구좌읍 종달리),제주시,구좌,,
맛집,배롱개,제주 제주시 구좌읍 해맞이해안로 434 (구좌읍 월정리),제주시,구좌,,
맛집,담백,제주 제주시 구좌읍 해맞이해안로 518 1층 102호 (구좌읍 행원리),제주시,구좌,,
맛집,세모,제주 제주시 구좌읍 행원로 121 (구좌읍 행원리),제주시,구좌,,
맛집,밭담,제주 제주시 구좌읍 행원로5길 35-20 1층 (구좌읍 행원리),제주시,구좌,,
맛집,윤슬,제주특별자치도 제주시 구좌읍 김녕로17길 30 (구좌읍),제주시,구좌,,
맛집,치저스,제주특별자치도 제주시 구좌읍 비자림로 1785 (구좌읍 송당리),제주시,구좌,,
맛집,평대앓이,제주특별자치도 제주시 구좌읍 비자림로 2718-3 (구좌읍),제주시,구좌,,
맛집,달이뜨는식탁,제주특별자치도 제주시 구좌읍 월정1길 14 (구좌읍),제주시,구좌,,
맛집,비지곶식당,제주특별자치도 제주시 구좌읍 일주동로 3002 (구좌읍 평대리),제주시,구좌,,
맛집,달식당,제주특별자치도 제주시 구좌읍 종달논길 61-7 3동 1층 (구좌읍),제주시,구좌,,
맛집,종달미소,제주특별자치도 제주시 구좌읍 종달로 60-15 (구좌읍),제주시,구좌,,
