대분류,관광지 이름,행정구역,지역,주소,해시 태그,소개,경도,위도,전화번호,예약 링크
관광지,조천중학원 옛터,제주시,조천,제주특별자치도 제주시 조천읍 신북로 264,"문화유적지,4.3,문화관광,제주4.3,역사유적,어트랙션",1947년 3․1절 시위 및 총파업 이후 미군정과 서청의 탄압을 받았던 조천중학원,33.538307,126.640305,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f9c3e840-8440-42be-b926-6edaaf8ac525.jpg
관광지,타오하우스,제주시,제주시내,제주특별자치도 제주시 도두봉6길 9-1,"제주시내, 도두, 커피, 핸드드립, 이색체험",맛과 향을 만끽하는 핸드드립 커피체험,33.5082788,126.4723912,0507-1404-0328,https://api.cdn.visitjeju.net/photomng/imgpath/202306/20/5500f4f9-99e7-4a0b-9c73-73f4eb4a91aa.jpg
관광지,멍멍플레이스,제주시,애월,제주특별자치도 제주시 애월읍 소길남길 244-5,"카페,음식,어트랙션,반려동물,반려동물동반입장,숙박,펜션,반려동물동반_숙소,반려동물동반_관광지",애월읍 중산간 마을에 위치한 멍멍 플레이스는 애견인을 위한 최고의 숙소로 꼽힌다. 강아지와 편안하게 쉴 수 있는 잠자리는 물론 잔디밭에서 맘껏 뛰어 다닐 수 있는 최적의 환경을 갖추고 있다. 반려견과 제주 여행을 계획한다면 한번 눈여겨 볼 필요가 있다. ,33.4160695,126.3794271,0507-1307-4661,https://api.cdn.visitjeju.net/photomng/imgpath/202002/21/1d79303f-858a-493d-aa57-881cc1a641d0.JPG
관광지,제주농업학교 옛터,제주시,제주시내,제주특별자치도 제주시 전농로 100,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",4․3이 발발하면서 수많은 제주도민들이 잡혀와 고문과 취조를 당했던 한과 눈물의 장소,33.499622,126.53119,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d5369b9c-f331-45e8-a0ee-976eff0ebedb.jpg
관광지,북촌환해장성,제주시,조천,제주특별자치도 제주시 조천읍 북촌리,"부모,혼자,아이,흐림,문화유적지,청년,중/장년,문화관광,역사유적,어린이,2022_마을산책_봄,Moment_봄",계속된 왜구의 침략으로 불안과 공포에 휩싸였던 그 시대의 삶을 느껴보자.,33.536594,126.69666,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ce54570c-698d-4c79-bc0a-0e6d03cd9ad0.jpg
관광지,산지항 옛터,제주시,제주시내,제주특별자치도 제주시 연무정길 28 (건입동)일대,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",1950년 예비검속 당시 에비검속자 가운데 일부가 수장당한 곳.,33.516888,126.53469,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/b6939e07-60ed-427a-bff5-4d0ff42ceebd.jpg
관광지,하례점빵,서귀포시,남원,제주특별자치도 서귀포시 남원읍 하례로 272,"서귀포, 남원, 상웨빵, 이색체험, 러닝홀리데이인제주",새콤달콤 맛 좋은 상웨빵 요리체험,33.3252261,126.5961931,064-767-4545,https://api.cdn.visitjeju.net/photomng/imgpath/202307/28/c43c6d86-5adb-4daa-a11c-b1dcd211b73e.jpg
관광지,오림반,서귀포시,남원,제주특별자치도 서귀포시 남원읍 신례리,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",4․3 초기 무장대들이 훈련을 받았던 곳으로 추정되는 곳,33.36067,126.59719,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3a37ea7e-6b44-497c-be4c-349b5d299359.jpg
관광지,현사포구,제주시,제주시내,제주특별자치도 제주시 이호1동,"커플,친구,일몰,밤,올레,자전거,낚시,자연경관",낚시꾼들이 애정하는 한치 포인트,33.50021,126.45968,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4d96fd44-f120-4ee3-80a6-830ff384aaac.jpg
관광지,예절이오름(여절악),서귀포시,남원,제주특별자치도 서귀포시 남원읍 신흥리 산 18,"커플,혼자,친구,맑음,오름,봄,가을,자연경관,도보여행,도보",정상에서 바라보는 말굽형 모양의 예절이오름,33.3372665,126.7408476,064-760-4151,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fe4547d9-1f58-410c-8c9b-3ae160cea756.jpg
관광지,육시우영,제주시,애월,제주특별자치도 제주시 애월읍 하가리,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",4.3사건 당시 하가리 주민들을 공개적으로 집단학살한 곳.,33.45789,126.35208,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0ccbec08-c5d1-4390-b5c6-770532de4b97.jpg
관광지,송계순집터,서귀포시,대정,제주특별자치도 서귀포시 대정읍 안성리 1681-1,"맑음,문화유적지,사계절,자연경관,문화관광,역사유적,어트랙션",추사가 대정에 와서 처음 머문 집터,33.25089,126.27759,064-760-2505,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/b0ff5a47-b970-4036-9fe7-18523014a073.jpg
관광지,허브동산 미디어 파사드 (media facade),서귀포시,표선,제주특별자치도 서귀포시 표선면 돈오름로 170,"밤,테마공원,커플,여름,실내관광지,어트랙션,야간관광",야간개장을 맞이하여 이루어지는 미디어의 향연,33.32985,126.81486,064-787-7362,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2e0af278-3402-46d3-84c2-3f2348d40a36.jpg
관광지,제주힐CC,제주시,제주시내,제주특별자치도 제주시 516로 2596-117,"골프,액티비티,체험,레저/체험,어트랙션",한라산 중산간 영평동에 위치한 골프장,33.4399611,126.6020248,064-702-8400,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ebd5f9ee-c830-4dc6-a993-13712cb0b177.jpg
관광지,관음사 템플스테이,제주시,제주시내,제주시 산록북로 660,"템플스테이,휴식/힐링,커플,흐림,사계절,문화관광,체험,한라산,언택트,어트랙션",산천단 부근에 있는 관음사 절이며 템플 스테이 당일 및 숙박 프로그램을 체험할 수 있다.,33.42172,126.558815,064-724-6833,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/59f7169a-ff77-4897-b161-cc36715a0244.jpg
관광지,화북환해장성,제주시,제주시내,제주특별자치도 제주시 화북동,"문화유적지,문화관광,역사유적,반려동물,반려동물동반입장,반려동물동반_관광지",오랫동안 제주를 지켜주던 성벽에서 찾는 역사의 흔적,33.520233,126.56553,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/be01aeac-f80c-4f6c-ae41-a29e774a4823.jpg
관광지,불카분낭 (불타버린 나무),제주시,조천,제주특별자치도 제주시 조천읍 선흘리 1136-2,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",선흘리가 초토화되면서 같이 탔지만 지금껏 살아있는 나무,33.510834,126.70725,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4fb1ddfc-8807-4d78-acfe-d69109727216.jpg
관광지,제주아세안홀,서귀포시,중문,제주특별자치도 서귀포시 중문관광로 227-24,"전시와 행사,제주아세안홀,문화공간","한국과 아세안에 대한 이해 증진을 위한 강좌, 워크숍, 체험학습 등 다양한 행사가 진행되는 다목적 공간",33.2446048,126.421732,null,https://api.cdn.visitjeju.net/photomng/imgpath/202305/10/888e79e8-df2e-452a-ac98-eecffc29cf4b.jpg
관광지,유동룡미술관,제주시,한림,제주특별자치도 제주시 한림읍 용금로 906-10,"관광지,미술관,문화관광,건축문화기행", 건축가 겸 아티스트 유동룡의 흔적을 따라가며 ‘나의 오리지널리티’를 발견하는 곳,33.3403492,126.2709132,0507-1385-2678,https://api.cdn.visitjeju.net/photomng/imgpath/202302/24/cc407d41-94aa-4d74-8b32-43af37d10e60.jpg
관광지,4·3해원방사탑,제주시,제주시내,제주특별자치도 제주시 신산로 82,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",다시는 이 땅에 4․3과 같은 비극이 재발되지 않도록 돌을 쌓아 만든 방사탑,33.50547,126.53451,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/068e026d-6963-49d9-91de-7f11236e9966.jpg
관광지,제주양떼목장,제주시,애월,제주특별자치도 제주시 애월읍 도치돌길 289-13,"휴식/힐링,동물원,어린이,어린이동물농장,체험,카페,관광지",울타리가 없어 동물들과 특별한 소통이 가능한 특별한 목장,33.411151,126.3652835,064-799-7346,https://api.cdn.visitjeju.net/photomng/imgpath/202204/12/bf9fb620-77fc-4f1a-9744-f44b3004278d.jpg
관광지,밸런싱 요가,제주시,제주시내,제주특별자치도 제주시 중앙로 492,"혼자,필라테스,메디컬요가,요가,어트랙션",잔잔한 호흡의 요가와 함께 기구를 활용한 필라테스를 즐겨보자. 제주 시내 아라동에 있는 밸런싱요가에서는 다양한 프로그램을 체험할 수 있다.,33.4791921,126.5431924,0507-1401-6542,https://api.cdn.visitjeju.net/photomng/imgpath/201809/03/7ad39f35-10a1-4db4-a616-200fb0a61122.jpg
