대분류,관광지 이름,행정구역,지역,주소,태그,소개,위도,경도,전화번호
관광지,섬생이,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 신양리 산 87,자연경관,풍경이 아름다운 추자도 남쪽 무인도,33.939816,126.31154,--
관광지,추자등대,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 영흥리 77-3,자연경관,추자 10경의 하나로 상추자도 전경이 조망되는 곳,33.9568,126.297806,--
관광지,제주 샘주,제주시,애월,제주특별자치도 제주시 애월읍 애원로 283,이색체험,알고 마시면 더 맛난 제주전통주 체험,33.4102243,126.3758566,064-799-4225
관광지,제주소리,제주시,제주시내,제주특별자치도 제주시 신대로10길 55,이색체험,제주 민요에 녹아있는 제주 사람들의 이야기,33.4908202,126.4906809,010-9087-2953
관광지,제주다,제주시,애월,제주특별자치도 제주시 애월읍 납읍남로 65,이색체험,제주조릿대로 만드는 향긋한 차 체험을 할 수 있는 곳,33.4310983,126.3293946,010-7644-0391
관광지,대수포구,제주시,한림,제주특별자치도 제주시 한림읍 수원리 1027-7,역사유적,비양도가 보이는 작고 아담한 포구,33.426956,126.27057,--
관광지,더힐하우스스파,제주시,한림,제주특별자치도 제주시 한림읍 한창로 925-122,힐링,"제주의 청정을 그대로 유지한 자연의 품에 안겨 그 속에서 휴식과 회복, 그로부터 신체 나이를 되돌리는 데 도움을 주는 자연주의 스파, 더힐하우스스파가 바로 그곳이다. 더힐하우스스파는 블랙스톤 골프호텔 단지 내에 위치하고 있으며 편안한 분위기와 현대식 시설을 갖춘 전문 스파다. ",33.355577,126.3056877,064-795-2380
관광지,중문색달해변(해산물),서귀포시,중문,제주특별자치도 서귀포시 중문관광로72번길 114,힐링,서퍼들의 천국이라 불릴 만큼 파도가 높아 여름에는 다이나믹한 해수욕을 즐기려는 사람들로 인산인해를 이루는 중문색달해변.,33.24497249,126.4116462,064-760-4993
관광지,드르쿰다ATV IN 상효,서귀포시,서귀포시내,제주특별자치도 서귀포시 516로 619,카트/ATV,곶자왈 품은 숲에서 짜릿한 ATV체험,33.3037607,126.598499,070-8806-5999
관광지,아띠스떼21,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광본동로 14-5,힐링, 그림을 그리며 행복을 찾는 곳,33.307352,126.3379638,0507-1350-5127
관광지,제주힐CC,제주시,제주시내,제주특별자치도 제주시 516로 2596-117,골프,한라산 중산간 영평동에 위치한 골프장,33.4399611,126.602025,064-702-8400
관광지,일레븐프리다이빙 제주센터,서귀포시,서귀포시내,제주특별자치도 서귀포시 색달로 8,다이빙,바다를 유영하는 색다른 다이빙 체험,33.259137,126.404958,0507-1308-6353
관광지,월정퀵서프,제주시,구좌,제주특별자치도 제주시 구좌읍 해맞이해안로 486,서핑,에메랄드빛 월정해변에서 즐기는 서핑,33.5547934,126.798646,0507-1426-9025
관광지,서프서프,제주시,구좌,제주특별자치도 제주시 구좌읍 해맞이해안로 468,서핑,입문자에게 딱 맞는 월정 서핑체험,33.5553336,126.796623,0507-1366-3987
관광지,에코승마아카데미,제주시,조천,제주특별자치도 제주시 조천읍 비자림로 1065,승마,우거진 숲속에서 즐기는 승마 체험,33.4180631,126.653485,064-747-2563
관광지,뱅듸승마클럽,제주시,조천,제주특별자치도 제주시 조천읍 번영로 1118-33,승마,말을 타며 달리는 제주의 푸른 초원,33.4651501,126.654353,010-2696-7043
관광지,임문숙 가족 헛묘,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광리 807-4,역사유적,동광육거리 인근 밭에 조성된 희생자 9명의 헛묘,33.30914,126.340614,
관광지,삼밭구석 & 동광리4·3희생자위령비,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광리 1425 일대,역사유적,4·3사건 당시 죽은 삼밧구석 주민들의 원혼을 달래기 위해 마을 출신 주민들이 직접 세운 비석,33.311443,126.330444,
